time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.315000,1.5601,0.3866,-1.9120,2.498
2.318000,1.3487,0.3518,-2.1340,2.549
2.322000,1.0882,0.2698,-2.3628,2.615
2.327000,0.8195,0.1919,-2.5725,2.707
2.333000,0.5493,0.1060,-2.6618,2.720
2.337000,0.2790,-0.0257,-2.6646,2.679
2.342000,0.0673,-0.2376,-2.6444,2.656
2.348000,-0.1292,-0.4919,-2.5451,2.595
2.352000,-0.1431,-0.6948,-2.4644,2.564
2.357000,-0.1546,-0.8744,-2.2862,2.453
2.364000,-0.1112,-1.0119,-2.1061,2.339
2.368000,0.0257,-1.0766,-1.9012,2.185
2.373000,0.1806,-1.0420,-1.6619,1.970
2.378000,0.3737,-0.9081,-1.3978,1.708
2.384000,0.5600,-0.7010,-1.1543,1.462
2.389000,0.6940,-0.4752,-0.9590,1.276
2.393000,0.7622,-0.2626,-0.8299,1.157
2.402000,0.8067,-0.0793,-0.7611,1.112
2.405000,0.7785,0.0286,-0.7492,1.081
2.409000,0.7104,0.0755,-0.7415,1.030
2.420000,0.6189,0.0437,-0.7490,0.973
2.421000,0.5159,-0.0597,-0.7692,0.928
2.423000,0.4309,-0.2206,-0.7877,0.925
2.430000,0.3769,-0.3956,-0.7291,0.911
2.433000,0.3596,-0.5470,-0.5643,0.864
2.438000,0.3526,-0.6471,-0.3088,0.799
2.443000,0.3596,-0.7161,-0.0291,0.802
2.450000,0.4032,-0.7382,0.2547,0.879
2.455000,0.4206,-0.7820,0.4676,1.004
2.459000,0.3907,-0.8587,0.6363,1.138
2.468000,0.3507,-0.9278,0.7524,1.245
2.470000,0.2926,-0.9149,0.7874,1.242
2.474000,0.1972,-0.8115,0.7735,1.138
2.484000,0.1135,-0.6780,0.6866,0.972
2.485000,0.0257,-0.5354,0.5385,0.760
2.490000,-0.0272,-0.4094,0.3421,0.534
2.494000,-0.0908,-0.3172,0.1461,0.361
2.499000,-0.1464,-0.2977,-0.0222,0.332
2.504000,-0.1895,-0.2990,-0.1595,0.388
2.510000,-0.2300,-0.2802,-0.2554,0.443
2.516000,-0.3050,-0.2709,-0.3159,0.516
2.520000,-0.2341,-0.2401,-0.3482,0.483
2.525000,0.0740,0.0022,-0.1764,0.191
2.531000,0.3896,0.3098,0.0871,0.505
2.535000,0.5702,0.4485,0.1470,0.740
2.540000,0.5613,0.3526,0.0893,0.669
2.546000,0.5829,0.3774,0.1044,0.702
2.552000,0.6176,0.4577,0.2139,0.798
2.561000,0.5133,0.4915,0.2865,0.766
2.562000,0.3319,0.4366,0.3318,0.641
2.568000,0.2467,0.4944,0.3531,0.656
2.571000,0.2147,0.6019,0.3755,0.741
2.577000,0.1934,0.7423,0.3955,0.863
2.585000,0.1660,0.7541,0.3759,0.859
2.587000,0.0660,0.6901,0.3097,0.759
2.591000,-0.0343,0.6795,0.1942,0.708
2.598000,-0.1995,0.6676,0.0879,0.702
2.601000,-0.3657,0.6745,0.0063,0.767
2.607000,-0.5369,0.6017,-0.0326,0.807
2.611000,-0.6805,0.4752,-0.0672,0.833
2.619000,-0.7591,0.3652,-0.1189,0.851
2.621000,-0.7576,0.2521,-0.1197,0.807
2.627000,-0.6930,0.1700,-0.0692,0.717
2.636000,-0.6078,0.0840,-0.0260,0.614
2.638000,-0.4973,0.0248,0.0820,0.505
2.641000,-0.3441,0.0088,0.2094,0.403
2.650000,-0.2183,0.0371,0.3170,0.387
2.652000,-0.0485,0.1686,0.4371,0.471
2.657000,0.1102,0.3101,0.5196,0.615
2.666000,0.2384,0.4671,0.5754,0.778
2.667000,0.3394,0.5968,0.6008,0.912
2.673000,0.3622,0.6679,0.5621,0.945
2.678000,0.3000,0.6858,0.4856,0.892
2.686000,0.1840,0.6046,0.3266,0.711
2.694000,0.0616,0.5195,0.1865,0.555
2.694000,0.0070,0.4751,0.0327,0.476
2.701000,-0.0615,0.4121,-0.0919,0.427
2.703000,-0.1481,0.2873,-0.2056,0.383
2.709000,-0.2284,0.1208,-0.2628,0.369
2.714000,-0.2786,0.0220,-0.2694,0.388
2.718000,-0.2994,-0.0501,-0.2661,0.404
2.723000,-0.3137,-0.0735,-0.2406,0.402
2.728000,-0.3342,-0.1157,-0.2085,0.411
2.733000,-0.3767,-0.2296,-0.2055,0.487
2.738000,-0.3474,-0.2162,-0.2052,0.458
2.743000,-0.1294,0.1281,-0.1211,0.219
2.755000,0.0504,0.3669,-0.1065,0.385
2.757000,0.1748,0.4487,-0.1341,0.500
2.759000,0.2949,0.4838,-0.0793,0.572
2.766000,0.3508,0.4743,0.0184,0.590
2.771000,0.3010,0.3840,0.1665,0.516
2.775000,0.2017,0.2975,0.2921,0.463
2.788000,0.0942,0.2365,0.3570,0.438
2.789000,-0.0648,0.1766,0.4453,0.483
2.796000,-0.2014,0.0940,0.4646,0.515
2.797000,-0.3131,0.0190,0.4078,0.514
2.803000,-0.3698,-0.0554,0.3191,0.492
2.805000,-0.3893,-0.1093,0.1803,0.443
2.810000,-0.3763,-0.1243,0.0198,0.397
2.817000,-0.3785,-0.1083,-0.1432,0.419
2.820000,-0.3768,-0.1017,-0.2935,0.488
2.825000,-0.3702,-0.1067,-0.4660,0.605
2.833000,-0.3406,-0.1819,-0.6668,0.771
2.835000,-0.3159,-0.2424,-0.8314,0.922
2.840000,-0.3527,-0.2716,-0.9576,1.056
2.845000,-0.4050,-0.2755,-1.0384,1.148
2.850000,-0.4687,-0.3130,-1.2067,1.332
2.855000,-0.4793,-0.2643,-1.1309,1.256
2.861000,-0.4803,-0.2148,-0.9005,1.043
2.868000,-0.4224,-0.1968,-0.6891,0.832
2.872000,-0.3848,-0.1780,-0.4771,0.638
2.876000,-0.3801,-0.1658,-0.2285,0.473
2.886000,-0.4139,-0.1677,-0.0625,0.451
2.888000,-0.4172,-0.1541,0.0257,0.446
2.891000,-0.3447,-0.1601,0.0987,0.393
2.910000,-0.2424,-0.1108,0.2224,0.347
2.911000,-0.0835,-0.0502,0.4007,0.412
2.912000,0.0461,-0.0454,0.5562,0.560
2.917000,0.1465,-0.0520,0.5812,0.602
2.918000,0.1720,-0.0361,0.4755,0.507
2.921000,0.1681,-0.0016,0.3250,0.366
2.928000,0.0979,0.0499,0.1758,0.207
2.933000,-0.0216,0.0974,0.0398,0.107
2.937000,-0.1403,0.1279,-0.0761,0.205
2.941000,-0.2062,0.1427,-0.1577,0.296
2.950000,-0.2255,0.1477,-0.2015,0.337
2.954000,-0.2451,0.1759,-0.2074,0.366
2.957000,-0.2318,0.1843,-0.1515,0.333
2.962000,-0.1784,0.2308,-0.0431,0.295
2.967000,-0.0990,0.2688,0.0675,0.294
2.974000,-0.0315,0.3113,0.1936,0.368
2.977000,0.0445,0.3344,0.3235,0.467
2.985000,0.1193,0.3712,0.4669,0.608
2.988000,0.1375,0.4283,0.6063,0.755
2.993000,0.1506,0.4700,0.6739,0.835
3.001000,0.1493,0.4726,0.7108,0.866
3.004000,0.0954,0.4244,0.7065,0.830
3.009000,0.0201,0.3401,0.6851,0.765
3.015000,-0.0436,0.2543,0.6277,0.679
3.020000,-0.0732,0.1506,0.5298,0.556
3.024000,-0.1169,0.0531,0.4187,0.438
3.030000,-0.1391,0.0153,0.2874,0.320
3.034000,-0.1706,0.0183,0.1465,0.226
3.039000,-0.2355,0.0095,0.0291,0.237
3.044000,-0.2325,0.0238,-0.0413,0.237
3.049000,-0.2165,0.0207,-0.0913,0.236
3.054000,-0.1873,0.0184,-0.1281,0.228
3.059000,-0.1235,0.0265,-0.1899,0.228
3.067000,-0.0991,0.0414,-0.2231,0.248
3.069000,-0.0639,0.0596,-0.2458,0.261
3.074000,-0.0576,0.0834,-0.2868,0.304
3.079000,-0.0835,0.1031,-0.2970,0.325
3.084000,-0.1156,0.0852,-0.2803,0.315
3.089000,-0.1481,0.0819,-0.2189,0.277
3.094000,-0.1466,0.0906,-0.1368,0.220
3.103000,-0.0993,0.1120,-0.0246,0.152
3.109000,-0.0631,0.1422,0.1001,0.185
3.111000,-0.0486,0.1370,0.2324,0.274
3.117000,-0.0289,0.0763,0.3606,0.370
3.121000,-0.0115,0.0068,0.4279,0.428
3.125000,-0.0153,-0.1012,0.4277,0.440
3.133000,-0.0749,-0.2168,0.4021,0.463
3.135000,-0.1379,-0.2766,0.3083,0.437
3.140000,-0.1973,-0.2774,0.2048,0.397
3.145000,-0.2427,-0.2179,0.0809,0.336
3.151000,-0.2966,-0.1482,-0.0374,0.334
3.157000,-0.3527,-0.0834,-0.1397,0.388
3.160000,-0.3555,-0.0375,-0.2178,0.419
3.167000,-0.3219,-0.0220,-0.3077,0.446
3.171000,-0.2724,-0.0244,-0.3751,0.464
3.177000,-0.2414,-0.0055,-0.4177,0.483
3.185000,-0.2049,-0.0187,-0.4216,0.469
3.187000,-0.1677,-0.0163,-0.3822,0.418
3.192000,-0.1191,-0.0022,-0.3366,0.357
3.197000,-0.0806,0.0212,-0.2849,0.297
3.202000,-0.0535,0.0426,-0.2342,0.244
3.207000,-0.1033,0.0631,-0.1486,0.192
3.211000,-0.1904,0.0904,-0.0770,0.224
3.217000,-0.2815,0.1242,-0.0144,0.308
3.222000,-0.3364,0.1288,0.0143,0.361
3.226000,-0.3689,0.0843,-0.0038,0.378
3.232000,-0.5431,-0.1061,-0.0790,0.559
3.237000,-0.6920,-0.2429,-0.1577,0.750
3.242000,-0.7760,-0.2801,-0.1743,0.843
3.250000,-0.8166,-0.2703,-0.1747,0.878
3.253000,-0.8000,-0.2011,-0.1256,0.834
3.258000,-0.6692,-0.1444,0.0404,0.686
3.262000,-0.4324,-0.0934,0.3194,0.546
3.269000,-0.1342,-0.0767,0.5707,0.591
3.273000,0.1461,-0.0522,0.7045,0.721
3.278000,0.3542,0.0027,0.7513,0.831
3.284000,0.4872,0.0662,0.7310,0.881
3.288000,0.5392,0.1598,0.6664,0.872
3.293000,0.5032,0.2404,0.5554,0.787
3.299000,0.4483,0.2785,0.4089,0.668
3.303000,0.3611,0.3042,0.2306,0.525
3.309000,0.3044,0.3168,0.0823,0.447
3.314000,0.2302,0.3389,-0.0388,0.412
3.319000,0.2051,0.3314,-0.1175,0.407
3.324000,0.1680,0.3267,-0.1507,0.397
3.328000,0.1606,0.3036,-0.2042,0.400
3.333000,0.1564,0.2799,-0.2445,0.403
3.339000,0.1699,0.2618,-0.2576,0.405
3.343000,0.1888,0.2550,-0.2138,0.383
3.350000,0.1766,0.1997,-0.1552,0.308
3.354000,0.2166,0.1306,-0.0519,0.258
3.359000,0.2530,0.0585,0.0578,0.266
3.367000,0.2639,-0.0098,0.1848,0.322
3.370000,0.2307,-0.0517,0.2754,0.363
3.374000,0.1357,-0.0841,0.3112,0.350
3.379000,0.0209,-0.1711,0.3161,0.360
3.384000,-0.0815,-0.2386,0.2678,0.368
3.390000,-0.1741,-0.2710,0.2366,0.400
3.394000,-0.2429,-0.2911,0.1713,0.416
3.406000,-0.3024,-0.2942,0.1017,0.434
3.408000,-0.3328,-0.2851,0.0564,0.442
3.410000,-0.3417,-0.2450,0.0066,0.421
3.419000,-0.2972,-0.2111,-0.0204,0.365
3.420000,-0.2116,-0.1240,-0.0211,0.246
3.424000,-0.1171,-0.0637,-0.0146,0.134
3.432000,-0.0091,0.0115,-0.0236,0.028
3.434000,0.1065,0.0850,-0.0100,0.137
3.440000,0.1739,0.1424,0.0166,0.225
3.445000,0.2174,0.1672,0.0515,0.279
3.452000,0.2110,0.1429,0.0613,0.262
3.456000,0.1965,0.0984,0.0535,0.226
3.460000,0.1666,0.0268,0.0255,0.171
3.466000,0.1226,-0.0351,0.0087,0.128
3.472000,0.0420,-0.0681,-0.0258,0.084
3.477000,-0.0089,-0.0760,-0.0684,0.103
3.483000,-0.0550,-0.1052,-0.0798,0.143
3.485000,-0.0524,-0.1459,-0.0997,0.184
3.491000,-0.0193,-0.2003,-0.1207,0.235
3.496000,-0.0012,-0.2303,-0.1489,0.274
3.502000,0.0166,-0.2265,-0.1783,0.289
3.506000,0.0291,-0.1678,-0.1649,0.237
3.511000,0.0416,-0.0997,-0.0794,0.134
3.519000,0.0557,-0.0567,-0.0019,0.080
3.527000,0.0490,-0.0339,0.0904,0.108
3.528000,0.0450,-0.0421,0.2128,0.222
3.540000,0.0381,-0.0751,0.3177,0.329
3.542000,0.0483,-0.0820,0.4434,0.453
3.543000,0.0641,-0.0796,0.5292,0.539
3.547000,0.0225,-0.0954,0.6063,0.614
3.553000,-0.0283,-0.1224,0.6419,0.654
3.557000,-0.0446,-0.1022,0.6230,0.633
3.562000,-0.0637,-0.0995,0.5609,0.573
3.569000,-0.0800,-0.0794,0.4556,0.469
3.572000,-0.0639,-0.0313,0.3539,0.361
3.577000,-0.0421,0.0505,0.2638,0.272
3.585000,-0.0278,0.0920,0.2079,0.229
3.587000,0.0396,0.1091,0.1846,0.218
3.593000,0.0767,0.1007,0.1511,0.197
3.605000,0.1061,0.0802,0.1500,0.200
3.606000,0.1281,0.0619,0.1372,0.198
3.610000,0.1192,0.0458,0.1212,0.176
3.613000,0.0972,0.0369,0.0744,0.128
3.620000,0.0656,0.0291,0.0079,0.072
3.623000,0.0362,0.0204,-0.0844,0.094
3.628000,-0.0231,0.0107,-0.1310,0.133
3.634000,-0.0493,0.0429,-0.1371,0.152
3.638000,-0.0639,0.0312,-0.1019,0.124
3.644000,-0.0428,0.0056,-0.0529,0.068
3.650000,-0.0194,-0.0218,0.0086,0.030
3.654000,-0.0192,-0.0345,0.0673,0.078
3.658000,-0.0291,-0.0407,0.0826,0.097
3.663000,-0.0455,-0.0441,0.0835,0.105
3.670000,-0.0459,-0.0150,0.1092,0.119
3.675000,-0.0695,0.0178,0.1144,0.135
3.679000,-0.0999,0.0161,0.1551,0.185
3.687000,-0.1175,0.0110,0.1884,0.222
3.689000,-0.1265,-0.0059,0.1977,0.235
3.694000,-0.1257,-0.0454,0.2605,0.293
3.702000,-0.0915,-0.0765,0.3123,0.334
3.704000,-0.0666,-0.0959,0.3296,0.350
3.709000,-0.0714,-0.1071,0.3113,0.337
3.716000,-0.0484,-0.1207,0.2519,0.283
3.719000,-0.0329,-0.1402,0.1692,0.222
3.724000,-0.0307,-0.1334,0.0586,0.149
3.733000,-0.0124,-0.0942,-0.0277,0.099
3.735000,-0.0163,-0.0656,-0.1112,0.130
3.741000,-0.0317,-0.0366,-0.1886,0.195
3.746000,-0.0477,-0.0119,-0.2292,0.234
3.753000,-0.0774,-0.0163,-0.2546,0.267
3.755000,-0.0934,-0.0258,-0.2590,0.277
3.760000,-0.1517,-0.0477,-0.2699,0.313
3.769000,-0.1521,-0.0391,-0.2492,0.295
3.770000,-0.1497,-0.0277,-0.2446,0.288
3.775000,-0.1304,-0.0218,-0.2001,0.240
3.780000,-0.0846,-0.0467,-0.1514,0.180
3.785000,-0.0134,-0.0856,-0.1080,0.138
3.791000,0.0416,-0.1300,-0.0686,0.153
3.796000,0.0630,-0.1278,-0.0212,0.144
3.803000,0.0597,-0.1173,0.0615,0.145
3.807000,0.0692,-0.1095,0.2009,0.239
3.813000,0.0500,-0.0869,0.3124,0.328
3.819000,-0.0082,-0.0745,0.3927,0.400
3.822000,-0.0411,-0.0595,0.4017,0.408
3.828000,-0.0907,-0.0738,0.3923,0.409
3.835000,-0.1052,-0.0970,0.3265,0.356
3.840000,-0.1387,-0.0967,0.2305,0.286
3.842000,-0.1485,-0.0778,0.1117,0.201
3.847000,-0.1814,-0.0578,-0.0075,0.191
3.852000,-0.2244,-0.0543,-0.0868,0.247
3.858000,-0.2321,-0.0672,-0.1528,0.286
3.861000,-0.2217,-0.0830,-0.1795,0.297
3.868000,-0.2012,-0.1101,-0.1566,0.278
3.873000,-0.1468,-0.1268,-0.0975,0.217
3.878000,-0.1167,-0.1037,-0.0177,0.157
3.885000,-0.0986,-0.0841,0.0552,0.141
3.888000,-0.0961,-0.0702,0.1037,0.158
3.893000,-0.0874,-0.0670,0.1767,0.208
3.899000,-0.0559,-0.0818,0.2825,0.299
3.903000,0.0054,-0.1100,0.3937,0.409
3.909000,0.0396,-0.1302,0.5258,0.543
3.914000,0.0326,-0.1167,0.5910,0.603
3.921000,0.0191,-0.1077,0.6288,0.638
3.928000,0.0243,-0.1056,0.6290,0.638
3.929000,-0.0270,-0.1113,0.5823,0.594
3.936000,-0.1168,-0.1214,0.5009,0.528
3.939000,-0.1781,-0.1093,0.4157,0.465
3.943000,-0.2056,-0.0906,0.3160,0.388
3.952000,-0.1925,-0.0698,0.1710,0.267
3.954000,-0.1761,-0.0562,0.0484,0.191
3.958000,-0.1363,-0.0530,-0.0698,0.162
3.963000,-0.0947,-0.0353,-0.1873,0.213
3.969000,-0.0732,-0.0279,-0.3054,0.315
3.974000,-0.0728,-0.0260,-0.4112,0.418
3.978000,-0.0946,-0.0341,-0.4834,0.494
3.985000,-0.1291,-0.0153,-0.5165,0.533
3.990000,-0.1347,-0.0282,-0.5082,0.527
3.995000,-0.0991,-0.0371,-0.4458,0.458
4.002000,-0.0606,-0.0714,-0.3593,0.371
4.009000,-0.0020,-0.0943,-0.2595,0.276
4.009000,-0.0052,-0.0941,-0.1535,0.180
4.014000,-0.0293,-0.0748,-0.0400,0.090
4.019000,-0.0386,-0.0899,0.0275,0.102
4.024000,-0.0417,-0.1121,0.0660,0.137
4.030000,-0.0698,-0.1307,0.0959,0.177
4.034000,-0.0942,-0.1400,0.1531,0.228
4.039000,-0.1114,-0.1353,0.2289,0.288
4.044000,-0.1392,-0.1265,0.2806,0.338
4.052000,-0.1516,-0.1124,0.2906,0.346
4.055000,-0.1546,-0.1284,0.2934,0.356
4.059000,-0.1720,-0.1172,0.2881,0.355
4.067000,-0.1725,-0.0933,0.2782,0.340
4.071000,-0.1442,-0.0613,0.2542,0.299
4.075000,-0.1387,-0.0116,0.1852,0.232
4.085000,-0.1072,-0.0096,0.0775,0.133
4.088000,-0.0939,-0.0330,-0.0867,0.132
4.091000,-0.0824,-0.0540,-0.2656,0.283
4.095000,-0.0625,-0.0605,-0.4285,0.437
4.103000,-0.0594,-0.0444,-0.5660,0.571
4.106000,-0.0033,-0.0072,-0.5989,0.599
4.111000,0.0811,0.0445,-0.4172,0.427
4.120000,0.1420,0.0780,-0.1634,0.230
4.121000,0.1870,0.0492,0.0647,0.204
4.126000,0.2056,-0.0112,0.2284,0.307
4.138000,0.1741,-0.0567,0.3380,0.384
4.140000,0.1285,-0.0784,0.4094,0.436
4.142000,0.0964,-0.0988,0.4334,0.455
4.147000,0.1132,-0.0953,0.4055,0.432
4.155000,0.1577,-0.0889,0.3463,0.391
4.157000,0.1611,-0.0696,0.2570,0.311
4.161000,0.1501,-0.0431,0.1686,0.230
4.167000,0.1392,-0.0080,0.0975,0.170
4.172000,0.1188,-0.0176,0.0484,0.130
4.177000,0.1082,-0.0301,0.0329,0.117
4.184000,0.0855,-0.0371,-0.0134,0.094
4.187000,0.0543,-0.0160,-0.0691,0.089
4.192000,0.0341,-0.0040,-0.1162,0.121
4.203000,0.0344,0.0027,-0.1419,0.146
4.204000,0.0230,0.0015,-0.1391,0.141
4.208000,-0.0050,-0.0066,-0.0890,0.089
4.213000,-0.0352,0.0011,-0.0371,0.051
4.220000,-0.0728,-0.0247,0.0263,0.081
4.225000,-0.1153,-0.0270,0.1046,0.158
4.228000,-0.1665,-0.0491,0.1790,0.249
4.236000,-0.1835,-0.0421,0.2447,0.309
4.238000,-0.1628,-0.0218,0.2936,0.336
4.243000,-0.1375,-0.0189,0.3281,0.356
4.251000,-0.1198,-0.0178,0.3306,0.352
4.254000,-0.1106,0.0018,0.3225,0.341
4.259000,-0.1016,-0.0280,0.3207,0.338
4.264000,-0.0866,-0.0520,0.3227,0.338
4.271000,-0.0529,-0.0489,0.3189,0.327
4.275000,-0.0120,-0.0437,0.3201,0.323
4.280000,0.0037,-0.0330,0.3370,0.339
4.285000,0.0210,-0.0549,0.3944,0.399
4.289000,-0.0027,-0.0462,0.4078,0.410
4.294000,-0.0506,-0.0543,0.3810,0.388
4.305000,-0.1013,-0.0603,0.3107,0.332
4.307000,-0.1431,-0.0509,0.2434,0.287
4.313000,-0.1749,-0.0569,0.1945,0.268
4.314000,-0.1945,-0.0392,0.1746,0.264
4.326000,-0.2117,-0.0288,0.1156,0.243
4.327000,-0.2159,-0.0173,0.0594,0.225
4.330000,-0.1790,-0.0010,-0.0012,0.179
4.337000,-0.1334,0.0057,-0.0164,0.134
4.339000,-0.0812,0.0103,-0.0565,0.099
4.344000,-0.0190,-0.0134,-0.0787,0.082
4.352000,0.0590,-0.0439,-0.0533,0.091
4.355000,0.1294,-0.0470,-0.0067,0.138
4.360000,0.1736,-0.0583,0.0764,0.198
4.365000,0.2085,-0.0259,0.1271,0.246
4.372000,0.1762,-0.0593,0.1599,0.245
4.376000,0.0936,-0.0858,0.1499,0.196
4.382000,-0.0058,-0.1017,0.0952,0.139
4.386000,-0.0758,-0.1388,0.0185,0.159
4.390000,-0.1050,-0.1461,-0.0635,0.191
4.395000,-0.1128,-0.1221,-0.1154,0.202
4.404000,-0.0917,-0.0777,-0.1480,0.191
4.406000,-0.0728,-0.0426,-0.1461,0.169
4.412000,-0.0943,-0.0369,-0.1634,0.192
4.420000,-0.0918,-0.0390,-0.2010,0.224
4.421000,-0.0871,-0.0584,-0.2137,0.238
4.426000,-0.0745,-0.0773,-0.1863,0.215
4.431000,-0.0490,-0.0696,-0.1627,0.184
4.437000,-0.0286,-0.0901,-0.1384,0.168
4.441000,-0.0167,-0.0782,-0.0990,0.127
4.446000,0.0131,-0.0829,-0.0385,0.092
4.455000,0.0491,-0.0565,0.0191,0.077
4.456000,0.0688,-0.0838,0.0551,0.122
4.461000,0.1145,-0.1243,0.0732,0.184
4.469000,0.1453,-0.1125,0.0757,0.199
4.472000,0.1315,-0.0684,0.1308,0.198
4.478000,0.0905,-0.0290,0.2131,0.233
4.482000,0.0715,-0.0168,0.2335,0.245
4.488000,0.0962,-0.0501,0.2054,0.232
4.492000,0.1342,-0.1021,0.0969,0.194
4.499000,0.1169,-0.1413,-0.0523,0.191
4.505000,0.0676,-0.1638,-0.2376,0.296
4.509000,-0.0209,-0.1768,-0.4421,0.477
4.514000,-0.1027,-0.1778,-0.6042,0.638
4.523000,-0.1728,-0.1615,-0.7924,0.827
4.525000,-0.3548,-0.1844,-1.3513,1.409
4.528000,-0.4197,-0.0844,-1.5388,1.597
4.534000,-0.2794,0.0795,-0.9291,0.973
4.539000,-0.1409,0.1686,-0.1154,0.248
4.544000,0.0114,0.2019,0.4386,0.483
4.549000,0.1305,0.1491,0.7387,0.765
4.555000,0.1456,0.0320,0.9117,0.924
4.559000,0.0906,-0.0288,0.9692,0.974
4.564000,0.0206,-0.0835,0.9051,0.909
4.568000,-0.0782,-0.1223,0.7508,0.765
4.574000,-0.1254,-0.1083,0.5567,0.581
4.579000,-0.0277,-0.0299,0.4915,0.493
4.585000,-0.0139,0.0173,0.4902,0.491
4.589000,0.0666,0.0193,0.4989,0.504
4.594000,0.3266,-0.0434,0.5330,0.627
4.601000,0.0829,-0.0514,0.4485,0.459
4.604000,-0.1874,-0.0272,0.2305,0.298
4.610000,-0.3340,0.0211,-0.0444,0.338
4.614000,-0.3191,0.0784,-0.2964,0.443
4.619000,-0.2538,0.1192,-0.4596,0.538
4.624000,-0.2072,0.1179,-0.5976,0.643
4.630000,-0.1495,0.0420,-0.7466,0.763
4.634000,-0.0547,0.0699,-0.7768,0.782
